json,img,layout,verify,no_verify,time_detect,time_pick,time_verify,time_place,time_return
0,5034,p,1,1,,,,,
0,5092,o,0,0,,,,,
0,5037,a,1,1,,,,,
1,5094,a,0,-1,41,32,10,,26
1,5053,p,1,1,,,,,
1,5252,o,0,-1,,,,,
2,5058,p,0,-1,16,44,16,,20
2,5100,a,0,-1,,,,,
2,5101,o,0,-1,29,29,12,,24
3,5102,p,0,0,,,,,
3,5075,o,0,-1,24,43,7,,26
3,5107,a,0,-1,,,,,
4,5250,p,1,1,37,51,5,15,
4,5072,o,0,-1,25,31,10,,25
4,5110,a,1,1,24,28,11,17,
5,5111,a,0,-1,,,,,
5,5112,o,1,1,,,,,
5,5064,p,0,-1,,,,,
7,5113,a,0,0,,,,,
7,5070,o,0,-1,22,30,16,,26
7,5115,p,0,0,,,,,
8,5077,o,0,-1,39,31,10,,26
8,5117,p,1,1,,,,,
8,5118,a,0,0,,,,,
11,5087,o,0,-1,,,,,
11,5121,a,1,1,47,51,12,16,
11,5120,p,0,-1,53,33,10,,26
12,5088,a,0,-1,,,,,
12,5089,p,1,1,40,34,10,16,
12,5090,o,1,1,,,,,
13,5254,p,0,0,,,,,
13,5255,a,0,0,23,29,,,
13,5257,o,0,0,,,,,
14,5259,p,1,1,,,,,
14,,a,1,1,13,31,5,15,
14,5261,o,1,1,,,,,
15,5162,p,0,0,,,,,
15,5265,a,0,0,,,,,
15,5267,o,0,0,,,,,
16,5268,p,0,0,,,,,
16,5270,a,1,1,,,,,
16,5271,o,1,1,21,37,6,14,
17,5272,p,0,-1,25,31,14,,13
17,5273,a,0,-1,,,,,
17,5274,o,1,1,,,,,
18,5276,p,0,-1,,,,,
18,5277,a,0,-1,,,,,
18,5279,o,1,1,14,30,9,17,
19,,p,0,-1,,,,,
19,,a,0,0,,,,,
19,,o,1,1,,,,,
20,,p,1,1,,,,,
20,,a,1,1,,,,,
20,,o,0,-1,,,,,
21,,p,1,1,23,33,10,14,
21,,a,0,-1,17,29,8,,23
21,,o,0,-1,24,28,8,,24
22,,p,1,1,,,,,
22,,a,0,0,,,,,
22,,o,0,-1,23,32,9,,22
23,,p,1,1,23,57,9,15,
23,,a,1,1,21,28,11,15,
23,,o,0,0,,,,,
24,,p,0,0,,,,,
24,,a,0,0,,,,,
24,,o,0,0,,,,,
25,,p,0,0,,,,,
25,,a,0,0,,,,,
25,,o,1,1,,,,,
26,,p,0,0,,,,,
26,,a,0,-1,,,,,
26,,o,0,0,,,,,
27,,p,1,1,,,,,
27,,a,0,0,,,,,
27,,o,1,1,,,,,
28,,p,1,1,16,29,9,14,
28,,a,1,1,,,,,
28,,o,1,1,,,,,
29,,p,1,1,24,29,8,16,
29,,a,1,1,23,30,8,17,
29,,o,1,1,,,,,
30,,p,0,0,,,,,
30,,a,0,0,,,,,
30,,o,0,0,,,,,
31,,p,1,1,19,33,7,16,
31,,a,1,1,21,48,9,16,
31,,o,1,1,23,30,9,15,
32,,p,0,0,,,,,
32,,a,0,0,,,,,
32,,o,1,1,,,,,
33,,p,0,0,,,,,
33,,a,0,0,,,,,
33,,o,0,0,,,,,
34,,p,0,1,,,,,
34,,a,0,1,,,,,
34,,o,0,1,,,,,
35,,p,1,1,22,35,8,14,
35,,a,0,-1,21,30,11,,22
35,,o,1,1,16,27,9,16,
36,,p,0,0,,,,,
36,,a,0,0,,,,,
36,,o,0,0,,,,,
